Date, MaxTemperature, MaxTemperatureNormal, MaxTemperatureDeparture, MinTemperature, MinTemperatureNormal, MinTemperatureDeparture, AvgTemperature, AvgTemperatureNormal, AvgTemperatureDeparture, AtObsTemperature, Precipitation, PrecipitationNormal, PrecipitationDeparture, Snowfall, SnowfallNormal, SnowfallDeparture, SnowDepth, HDD, HDDNormal, HDDDeparture, CDD, CDDNormal, CDDDeparture, GDD
1940-01-01, M, 36.6, M, M, 20.8, M, M, 28.7, M, M, M, 0.11, M, M, 0.4, M, M, M, 36.3, M, M, 0.0, M, M
1940-01-02, M, 36.4, M, M, 20.6, M, M, 28.5, M, M, M, 0.12, M, M, 0.4, M, M, M, 36.5, M, M, 0.0, M, M
1940-01-03, M, 36.3, M, M, 20.4, M, M, 28.3, M, M, M, 0.11, M, M, 0.5, M, M, M, 36.7, M, M, 0.0, M, M
1940-01-04, M, 36.1, M, M, 20.2, M, M, 28.1, M, M, M, 0.12, M, M, 0.4, M, M, M, 36.9, M, M, 0.0, M, M
1940-01-05, M, 36.0, M, M, 20.0, M, M, 28.0, M, M, M, 0.11, M, M, 0.4, M, M, M, 37.0, M, M, 0.0, M, M
1940-01-06, M, 35.8, M, M, 19.8, M, M, 27.8, M, M, M, 0.12, M, M, 0.4, M, M, M, 37.2, M, M, 0.0, M, M
1940-01-07, M, 35.7, M, M, 19.6, M, M, 27.6, M, M, M, 0.11, M, M, 0.5, M, M, M, 37.3, M, M, 0.0, M, M
1940-01-08, M, 35.5, M, M, 19.5, M, M, 27.5, M, M, M, 0.10, M, M, 0.5, M, M, M, 37.5, M, M, 0.0, M, M
1940-01-09, M, 35.4, M, M, 19.3, M, M, 27.4, M, M, M, 0.11, M, M, 0.4, M, M, M, 37.6, M, M, 0.0, M, M
1940-01-10, M, 35.3, M, M, 19.1, M, M, 27.2, M, M, M, 0.11, M, M, 0.5, M, M, M, 37.8, M, M, 0.0, M, M
1940-01-11, M, 35.2, M, M, 19.0, M, M, 27.1, M, M, M, 0.11, M, M, 0.4, M, M, M, 37.9, M, M, 0.0, M, M
1940-01-12, M, 35.1, M, M, 18.9, M, M, 27.0, M, M, M, 0.11, M, M, 0.5, M, M, M, 38.0, M, M, 0.0, M, M
1940-01-13, M, 35.1, M, M, 18.7, M, M, 26.9, M, M, M, 0.11, M, M, 0.5, M, M, M, 38.1, M, M, 0.0, M, M
1940-01-14, M, 35.0, M, M, 18.6, M, M, 26.8, M, M, M, 0.10, M, M, 0.5, M, M, M, 38.2, M, M, 0.0, M, M
1940-01-15, M, 34.9, M, M, 18.5, M, M, 26.7, M, M, M, 0.11, M, M, 0.4, M, M, M, 38.3, M, M, 0.0, M, M
1940-01-16, M, 34.9, M, M, 18.4, M, M, 26.6, M, M, M, 0.10, M, M, 0.5, M, M, M, 38.4, M, M, 0.0, M, M
1940-01-17, M, 34.8, M, M, 18.3, M, M, 26.6, M, M, M, 0.11, M, M, 0.5, M, M, M, 38.4, M, M, 0.0, M, M
1940-01-18, M, 34.8, M, M, 18.2, M, M, 26.5, M, M, M, 0.10, M, M, 0.4, M, M, M, 38.5, M, M, 0.0, M, M
1940-01-19, M, 34.8, M, M, 18.2, M, M, 26.5, M, M, M, 0.10, M, M, 0.4, M, M, M, 38.5, M, M, 0.0, M, M
1940-01-20, M, 34.8, M, M, 18.1, M, M, 26.4, M, M, M, 0.10, M, M, 0.5, M, M, M, 38.5, M, M, 0.0, M, M
1940-01-21, M, 34.8, M, M, 18.1, M, M, 26.4, M, M, M, 0.10, M, M, 0.4, M, M, M, 38.6, M, M, 0.0, M, M
1940-01-22, M, 34.8, M, M, 18.0, M, M, 26.4, M, M, M, 0.11, M, M, 0.5, M, M, M, 38.6, M, M, 0.0, M, M
