,Date,MaxTemperature,MaxTemperatureNormal,MaxTemperatureDeparture,MinTemperature,MinTemperatureNormal,MinTemperatureDeparture,AvgTemperature,AvgTemperatureNormal,AvgTemperatureDeparture,PrecipitationNormal,PrecipitationDeparture,Snowfall,SnowfallNormal,SnowfallDeparture,SnowDepth,HDD,HDDNormal,HDDDeparture,CDD,CDDNormal,CDDDeparture,GDD,Precipitation,Year,Month,Day
0,1/1/80,38,35.2,2.8,18,18.6,-0.6,28,26.9,1.1,0.1,-0.1,0,0.4,-0.4,0,37,38,-1,0,0,0,0,0,1980,1,1
1,1/2/80,39,35.1,3.9,24,18.4,5.6,31.5,26.8,4.7,0.1,-0.1,0,0.4,-0.4,0,33,38,-5,0,0,0,0,0,1980,1,2
2,1/3/80,33,34.9,-1.9,19,18.3,0.7,26,26.6,-0.6,0.1,-0.1,0,0.3,-0.3,0,39,38,1,0,0,0,0,0,1980,1,3
3,1/4/80,26,34.8,-8.8,13,18.1,-5.1,19.5,26.4,-6.9,0.1,-0.1,0,0.4,-0.4,0,45,39,6,0,0,0,0,0,1980,1,4
4,1/5/80,29,34.7,-5.7,21,18,3,25,26.3,-1.3,0.1,-0.1,0,0.4,-0.4,0,40,39,1,0,0,0,0,0,1980,1,5
5,1/6/80,28,34.5,-6.5,11,17.8,-6.8,19.5,26.2,-6.7,0.11,-0.11,0,0.4,-0.4,0,45,39,6,0,0,0,0,0,1980,1,6
6,1/7/80,40,34.4,5.6,13,17.7,-4.7,26.5,26.1,0.4,0.1,-0.1,0,0.4,-0.4,0,38,39,-1,0,0,0,0,0,1980,1,7
7,1/8/80,37,34.3,2.7,20,17.6,2.4,28.5,26,2.5,0.09,-0.09,0,0.4,-0.4,0,36,39,-3,0,0,0,0,0,1980,1,8
8,1/9/80,30,34.3,-4.3,16,17.5,-1.5,23,25.9,-2.9,0.1,-0.1,0,0.4,-0.4,0,42,39,3,0,0,0,0,0,1980,1,9
9,1/10/80,30,34.2,-4.2,14,17.4,-3.4,22,25.8,-3.8,0.1,-0.1,0,0.4,-0.4,0,43,39,4,0,0,0,0,0,1980,1,10
10,1/11/80,56,34.1,21.9,23,17.4,5.6,39.5,25.8,13.7,0.11,0.49,0,0.4,-0.4,0,25,39,-14,0,0,0,0,0.6,1980,1,11
11,1/12/80,55,34.1,20.9,22,17.3,4.7,38.5,25.7,12.8,0.11,-0.01,0,0.4,-0.4,0,26,39,-13,0,0,0,0,0.1,1980,1,12
12,1/13/80,30,34.1,-4.1,14,17.3,-3.3,22,25.7,-3.7,0.1,-0.1,0,0.4,-0.4,0,43,39,4,0,0,0,0,0,1980,1,13
13,1/14/80,41,34.1,6.9,24,17.2,6.8,32.5,25.6,6.9,0.11,-0.11,0,0.4,-0.4,0,32,39,-7,0,0,0,0,0,1980,1,14
14,1/15/80,45,34.1,10.9,34,17.2,16.8,39.5,25.6,13.9,0.11,-0.11,0,0.4,-0.4,0,25,39,-14,0,0,0,0,0,1980,1,15
15,1/16/80,42,34.1,7.9,25,17.2,7.8,33.5,25.6,7.9,0.11,-0.11,0,0.4,-0.4,0,31,39,-8,0,0,0,0,0,1980,1,16
16,1/17/80,37,34.1,2.9,24,17.2,6.8,30.5,25.7,4.8,0.1,-0.1,0,0.4,-0.4,0,34,39,-5,0,0,0,0,0,1980,1,17
17,1/18/80,42,34.1,7.9,29,17.3,11.7,35.5,25.7,9.8,0.11,-0.11,0,0.3,-0.3,0,29,39,-10,0,0,0,0,0,1980,1,18
18,1/19/80,43,34.1,8.9,35,17.3,17.7,39,25.7,13.3,0.1,-0.1,0,0.4,-0.4,0,26,39,-13,0,0,0,0,0,1980,1,19
19,1/20/80,38,34.2,3.8,24,17.3,6.7,31,25.8,5.2,0.11,-0.11,0,0.4,-0.4,0,34,39,-5,0,0,0,0,0,1980,1,20
20,1/21/80,34,34.2,-0.2,20,17.4,2.6,27,25.8,1.2,0.11,-0.11,0,0.4,-0.4,0,38,39,-1,0,0,0,0,0,1980,1,21
21,1/22/80,34,34.3,-0.3,21,17.5,3.5,27.5,25.9,1.6,0.11,-0.09,0.2,0.4,-0.2,0,37,39,-2,0,0,0,0,0.02,1980,1,22
22,1/23/80,35,34.4,0.6,23,17.5,5.5,29,26,3,0.11,-0.11,0,0.4,-0.4,0,36,39,-3,0,0,0,0,0,1980,1,23
23,1/24/80,26,34.5,-8.5,13,17.6,-4.6,19.5,26.1,-6.6,0.1,-0.1,0,0.5,-0.5,0,45,39,6,0,0,0,0,0,1980,1,24
24,1/25/80,29,34.6,-5.6,12,17.7,-5.7,20.5,26.2,-5.7,0.11,-0.11,0,0.4,-0.4,0,44,39,5,0,0,0,0,0,1980,1,25
25,1/26/80,33,34.7,-1.7,17,17.8,-0.8,25,26.3,-1.3,0.1,-0.1,0,0.4,-0.4,0,40,39,1,0,0,0,0,0,1980,1,26
26,1/27/80,37,34.8,2.2,24,17.9,6.1,30.5,26.4,4.1,0.1,-0.1,0,0.3,-0.3,0,34,39,-5,0,0,0,0,0,1980,1,27
27,1/28/80,35,34.9,0.1,21,18.1,2.9,28,26.5,1.5,0.1,-0.1,0,0.4,-0.4,0,37,39,-2,0,0,0,0,0,1980,1,28
28,1/29/80,31,35.1,-4.1,19,18.2,0.8,25,26.6,-1.6,0.11,-0.11,0,0.5,-0.5,0,40,38,2,0,0,0,0,0,1980,1,29
29,1/30/80,24,35.2,-11.2,11,18.3,-7.3,17.5,26.8,-9.3,0.1,-0.1,0,0.4,-0.4,0,47,38,9,0,0,0,0,0,1980,1,30
30,1/31/80,23,35.4,-12.4,7,18.4,-11.4,15,26.9,-11.9,0.11,-0.11,0,0.4,-0.4,0,50,38,12,0,0,0,0,0,1980,1,31
31,2/1/80,23,35.5,-12.5,6,18.6,-12.6,14.5,27.1,-12.6,0.1,-0.1,0,0.4,-0.4,0,50,38,12,0,0,0,0,0,1980,2,1
32,2/2/80,22,35.7,-13.7,8,18.7,-10.7,15,27.2,-12.2,0.11,-0.11,0,0.5,-0.5,0,50,38,12,0,0,0,0,0,1980,2,2
33,2/3/80,26,35.9,-9.9,11,18.9,-7.9,18.5,27.4,-8.9,0.1,-0.1,0,0.5,-0.5,0,46,38,8,0,0,0,0,0,1980,2,3
34,2/4/80,30,36,-6,4,19,-15,17,27.5,-10.5,0.1,-0.1,0,0.4,-0.4,0,48,37,11,0,0,0,0,0,1980,2,4
35,2/5/80,28,36.2,-8.2,7,19.2,-12.2,17.5,27.7,-10.2,0.1,-0.1,0,0.4,-0.4,0,47,37,10,0,0,0,0,0,1980,2,5
36,2/6/80,36,36.4,-0.4,8,19.4,-11.4,22,27.9,-5.9,0.11,-0.11,0,0.5,-0.5,0,43,37,6,0,0,0,0,0,1980,2,6
37,2/7/80,33,36.6,-3.6,25,19.5,5.5,29,28.1,0.9,0.1,-0.1,0,0.4,-0.4,0,36,37,-1,0,0,0,0,0,1980,2,7
38,2/8/80,39,36.8,2.2,18,19.7,-1.7,28.5,28.3,0.2,0.1,-0.1,0,0.4,-0.4,0,36,37,-1,0,0,0,0,0,1980,2,8
39,2/9/80,36,37.1,-1.1,14,19.9,-5.9,25,28.5,-3.5,0.1,-0.1,0,0.4,-0.4,0,40,37,3,0,0,0,0,0,1980,2,9
